Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	oddsratio	lowerconfint	higherconfint	flag
C_2	RPE1_c2_MSH2_9_2	[DelC]234	30	27	40674023	41383442	1.13049073451486	0.672148401349411	1.90137966297056	
C_2	POD689_2	[DelC]234	3	0	40674023	41383442	1	1	1	
C_2	EXO1_KO22_d3	[DelC]234	0	0	40674023	41383442	1	1	1	
C_2	RPE1_WT_U1	[DelC]234	2	6	40674023	41383442	0.339147158985502	0.0684518213504469	1.680317531057	
C_2	RPE1_c2_MSH2_7_1	[DelC]234	38	26	40674023	41383442	1.48703044842658	0.902977961472028	2.44885218565356	
C_2	SETD2_KO19_d3	[InsC]234	0	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_9_2	[InsC]234	3	6	40674023	41383442	0.508720750985518	0.127229857390093	2.03408859989355	
C_2	POD689_2	[InsC]234	0	0	40674023	41383442	1	1	1	
C_2	EXO1_KO22_d3	[InsC]234	0	0	40674023	41383442	1	1	1	
C_2	RPE1_WT_U1	[InsC]234	0	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_7_1	[InsC]234	4	2	40674023	41383442	2.03488325065689	0.372715378956181	11.1096833605322	
C_2	SETD2_KO19_d4	[DelC]234	0	2	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_9_3	[DelC]234	35	29	40674023	41383442	1.22794692392287	0.750650467252656	2.00872938038701	
C_2	POLE_L424V_d1	[DelC]234	6	4	40674023	41383442	1.52616243927911	0.430677809178195	5.40815370894268	
C_2	MLH_A	[DelC]234	27	23	40674023	41383442	1.19438806425182	0.684880956768933	2.08293548525178	
C_2	RPE1_WT_U2	[DelC]234	4	5	40674023	41383442	0.813953241257029	0.218572777984443	3.03111798762048	
C_2	RPE1_c2_MSH2_7_2	[DelC]234	32	32	40674023	41383442	1.0174415881638	0.623317064574841	1.66077177115528	
C_2	SETD2_KO19_d4	[InsC]234	0	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_9_3	[InsC]234	1	6	40674023	41383442	0.169573575323663	0.0204152832806148	1.40851327178763	
C_2	POLE_L424V_d1	[InsC]234	0	0	40674023	41383442	1	1	1	
C_2	MLH_A	[InsC]234	5	5	40674023	41383442	1.01744157658582	0.294552235338142	3.51444408689364	
C_2	RPE1_WT_U2	[InsC]234	0	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_7_2	[InsC]234	9	3	40674023	41383442	3.05232517744622	0.826348175264911	11.2745320528908	
C_2	RPE1_c2_OGG1_11_1	[DelC]234	1	1	40674023	41383442	1.01744157487056	0.0636397842253302	16.2663555647799	
C_2	POLE_L424V_d2	[DelC]234	3	6	40674023	41383442	0.508720750985518	0.127229857390093	2.03408859989355	
C_2	MLH1_2	[DelC]234	27	26	40674023	41383442	1.05657398024413	0.616616515572283	1.81044222387206	
C_5	DheMS6d3	[DelC]567	551	598	1046160	1095007	0.964407897142313	0.858978398270757	1.08277762740349	
C_5	DheML6d1	[DelC]567	284	292	1046160	1095007	1.01802011731714	0.864582635524717	1.1986881492634	
C_5	POLE_P8_2	[InsC]567	1	6	1046160	1095007	0.17444782931339	0.0210020692453417	1.44900222909719	
C_5	DheMS6d3	[InsC]567	309	259	1046160	1095007	1.24882924311524	1.05872700493388	1.47306573950777	*
C_5	RPE1_c2_MSH2_7_3	[DelC]567	73	67	1046160	1095007	1.14043509608494	0.818567003613142	1.58886468992945	
C_5	EXO1_KO22_d2	[DelC]567	0	0	1046160	1095007	1	1	1	
C_5	POLE_L424V_d2	[InsC]567	2	4	1046160	1095007	0.523344944071546	0.0958572474810022	2.85726888349815	
C_5	DheML6d1	[InsC]567	219	156	1046160	1095007	1.46949241437578	1.19668688815867	1.80448869063035	*
C_5	POLE_P8_5	[DelC]567	1	0	1046160	1095007	1	1	1	
C_5	E_MSHd1	[DelC]567	46	75	1046160	1095007	0.641955172508286	0.444723892877036	0.926656854085618	*
C_5	RPE1_c2_MSH2_7_3	[InsC]567	34	34	1046160	1095007	1.04669322815798	0.65068296368209	1.68371814696389	
C_5	EXO1_KO22_d2	[InsC]567	1	0	1046160	1095007	1	1	1	
C_5	POLE_L424V_d3	[DelC]567	2	0	1046160	1095007	1	1	1	
C_5	DheML6d3	[DelC]567	241	277	1046160	1095007	0.910638989193836	0.766225523398176	1.08227061526511	
C_5	POLE_P8_5	[InsC]567	2	1	1046160	1095007	2.09338551155753	0.189820817733182	23.0863134630409	
C_5	E_MSHd1	[InsC]567	28	31	1046160	1095007	0.945397503035144	0.567140061079953	1.57593599902491	
C_5	RPE1_c2_MSH2_9_2	[DelC]567	62	57	1046160	1095007	1.13851498197495	0.794579658388636	1.6313233676408	
C_5	EXO1_KO22_d3	[DelC]567	0	1	1046160	1095007	1	1	1	
C_5	POLE_L424V_d3	[InsC]567	3	2	1046160	1095007	1.57003920061712	0.262344812394749	9.39611905786543	
C_5	DheML6d3	[InsC]567	226	153	1046160	1095007	1.5462116350185	1.25934893390245	1.89841779026095	*
C_5	RPE1_c2_MSH2_7_1	[DelC]567	52	56	1046160	1095007	0.971926621616233	0.666351013757134	1.41763325680276	
C_5	E_MSHd2	[DelC]567	39	63	1046160	1095007	0.64793888679271	0.434608154222064	0.965984639127745	*
C_5	RPE1_c2_MSH2_9_2	[InsC]567	64	37	1046160	1095007	1.81054335564056	1.20784667701328	2.7139762894079	*
C_5	EXO1_KO22_d3	[InsC]567	0	0	1046160	1095007	1	1	1	
C_5	POLE_P8_1	[DelC]567	0	3	1046160	1095007	1	1	1	
C_5	DheMS6d2	[DelC]567	494	534	1046160	1095007	0.968272855524918	0.856738483888088	1.09432731268419	
C_5	RPE1_c2_MSH2_7_1	[InsC]567	38	35	1046160	1095007	1.13641309795334	0.717981338692817	1.79870236119387	
C_5	E_MSHd2	[InsC]567	35	43	1046160	1095007	0.851953416123179	0.545294651369646	1.33106866429161	
C_5	RPE1_c2_MSH2_9_3	[DelC]567	65	62	1046160	1095007	1.09734413191672	0.774876256622677	1.55400831237292	
C_5	MLH_A	[DelC]567	49	46	1046160	1095007	1.11495959797765	0.745598849910886	1.66729724069594	
