Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	chisq_pvalue	P_adjust_chisq	flag_chisq	binom_pvalue	P_adjust_binom	flag_binom
C_234	POD689_1	[InsC]234	1	0	56781135	57895552	0.312607612192109	0.789703279157356		0.495141048153929	1	
C_234	EXO1_KO22_d2	[InsC]234	0	1	56781135	57895552	0.3220134049725	0.789703279157356		1	1	
C_234	RPE1_WT_2	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	POLE_P8_5	[InsC]234	0	1	56781135	57895552	0.3220134049725	0.789703279157356		1	1	
C_234	SETD2_KO19_d3	[DelC]234	1	0	56781135	57895552	0.312607612192109	0.789703279157356		0.495141048153929	1	
C_234	RPE1_c2_MSH2_9_2	[DelC]234	30	27	56781135	57895552	0.637818917055762	1		0.69194417554926	1	
C_234	POD689_2	[DelC]234	3	0	56781135	57895552	0.0802970183197096	0.560482032082787		0.121391085518009	0.818056533488218	
C_234	EXO1_KO22_d3	[DelC]234	0	0	56781135	57895552	1	1		1	1	
C_234	RPE1_WT_U1	[DelC]234	2	6	56781135	57895552	0.165504994639042	0.763869206026348		0.289248409496028	1	
C_234	RPE1_c2_MSH2_7_1	[DelC]234	38	26	56781135	57895552	0.114607488515478	0.68764493109287		0.133395984222415	0.841966372894327	
C_234	SETD2_KO19_d3	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	RPE1_c2_MSH2_9_2	[InsC]234	3	6	56781135	57895552	0.331601995420067	0.789703279157356		0.50799839779201	1	
C_234	POD689_2	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	EXO1_KO22_d3	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	RPE1_WT_U1	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	RPE1_c2_MSH2_7_1	[InsC]234	4	2	56781135	57895552	0.40071768625756	0.869099612520245		0.448681255834093	1	
C_234	SETD2_KO19_d4	[DelC]234	0	2	56781135	57895552	0.161352719900413	0.76343174341448		0.500047218826085	1	
C_234	RPE1_c2_MSH2_9_3	[DelC]234	35	29	56781135	57895552	0.407793790589799	0.873324567012862		0.453983783404204	1	
C_234	POLE_L424V_d1	[DelC]234	6	4	56781135	57895552	0.507191227377635	0.954854407345263		0.545018049776826	1	
C_234	MLH_A	[DelC]234	27	23	56781135	57895552	0.525799362872642	0.982037720540343		0.573014134800373	1	
C_234	RPE1_WT_U2	[DelC]234	4	5	56781135	57895552	0.76098010614646	1		1	1	
C_234	RPE1_c2_MSH2_7_2	[DelC]234	32	32	56781135	57895552	0.93802938558987	1		1	1	
C_234	SETD2_KO19_d4	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	RPE1_c2_MSH2_9_3	[InsC]234	1	6	56781135	57895552	0.062293730632496	0.54789204705365		0.125123949418104	0.818056533488218	
C_234	POLE_L424V_d1	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	MLH_A	[InsC]234	5	5	56781135	57895552	0.975483142564313	1		1	1	
C_234	RPE1_WT_U2	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	RPE1_c2_MSH2_7_2	[InsC]234	9	3	56781135	57895552	0.0774297451324016	0.560482032082787		0.0893207007287931	0.752174321926678	
C_234	RPE1_c2_OGG1_11_1	[DelC]234	1	1	56781135	57895552	0.989034347336026	1		1	1	
C_234	POLE_L424V_d2	[DelC]234	3	6	56781135	57895552	0.331601995420067	0.789703279157356		0.50799839779201	1	
C_234	MLH1_2	[DelC]234	27	26	56781135	57895552	0.835136990592164	1		0.89114050308625	1	
C_567	DheMS6d3	[DelC]567	551	598	1286457	1339204	0.48034755413855	0.937353479171036		0.497368785350085	1	
C_567	DheML6d1	[DelC]567	284	292	1286457	1339204	0.881684951861109	1		0.900532022792542	1	
C_567	POLE_P8_2	[InsC]567	1	6	1286457	1339204	0.0662036223523161	0.54789204705365		0.125529684799051	0.818056533488218	
