Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	oddsratio	lowerconfint	higherconfint	flag
C_2	RPE1_c2_MSH2_9_3	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	DheMS6d3	[DelC]2	178	211	40674023	41383442	0.858315020948296	0.703103031751379	1.04779049714861	
C_2	EXO1_KO22_d1	[DelC]2	1	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_7_1	[DelC]2	7	6	40674023	41383442	1.18701520236736	0.39892515517423	3.53200361615664	
C_2	RPE1_WT_1	[DelC]2	0	1	40674023	41383442	1	1	1	
C_2	EXO1_KO22_d1	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	POD689_1	[InsC]2	1	0	40674023	41383442	1	1	1	
C_2	RPE1_WT_1	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	EXO1_KO22_d2	[DelC]2	2	2	40674023	41383442	1.01744157529938	0.143320368485377	7.22289071740212	
C_2	POD689_2	[DelC]2	1	0	40674023	41383442	1	1	1	
C_2	RPE1_WT_2	[DelC]2	0	0	40674023	41383442	1	1	1	
C_2	DheMS6d2	[InsC]2	5	2	40674023	41383442	2.54360412585745	0.493495492470877	13.1103972534477	
C_2	MLH1_2	[InsC]2	1	0	40674023	41383442	1	1	1	
C_2	SETD2_KO15_d3	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	MSH3_KO5_d4	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	MSH3_KO5_d4	[DelC]2	0	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_OGG1_11_1	[DelC]2	1	0	40674023	41383442	1	1	1	
C_2	DheMS6d3	[InsC]2	2	1	40674023	41383442	2.03488319977019	0.184516303116931	22.4411044810654	
C_2	RPE1_c2_MSH2_7_2	[DelC]2	5	5	40674023	41383442	1.01744157658582	0.294552235338142	3.51444408689364	
C_2	RPE1_c2_MSH2_7_1	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	EXO1_KO22_d2	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	POD478_1	[DelC]2	0	0	40674023	41383442	1	1	1	
C_2	MLH1_5	[DelC]2	7	4	40674023	41383442	1.78052288960107	0.521229186207537	6.08227981909484	
C_2	RPE1_c2_MSH2_7_2	[InsC]2	2	0	40674023	41383442	1	1	1	
C_3	MLH1_5	[InsC]3	1	0	11688814	11890962	1	1	1	
C_3	DheML6d1	[DelC]3	179	179	11688814	11890962	1.01729440606196	0.826934620298985	1.25147488471432	
