IndelType	Indel	Indel3	Figlabel
"Del(7,):M2"	"Del(2,):M(1,)"	Deletion	"Del(7,):M2"
"Del(7,):M3"	"Del(2,):M(1,)"	Deletion	"Del(7,):M3"
"Del(7,):M4"	"Del(2,):M(1,)"	Deletion	"Del(7,):M4"
"Del(7,):M5"	"Del(2,):M(1,)"	Deletion	"Del(7,):M5"
"Del(7,):M(6,)"	"Del(2,):M(1,)"	Deletion	"Del(7,):M(6,)"
"Complex(0,1)"	Complex	Complex	"Complex(0,1)"
"Complex(2,5)"	Complex	Complex	"Complex(2,5)"
"Complex(6,10)"	Complex	Complex	"Complex(6,10)"
"Complex(11,20)"	Complex	Complex	"Complex(11,20)"
"Complex(21,)"	Complex	Complex	"Complex(21,)"
