IndelType	Indel
G[Del(T):R7]G	Del(T)
G[Del(T):R8]A	Del(T)
G[Del(T):R8]C	Del(T)
G[Del(T):R8]G	Del(T)
G[Del(T):R9]A	Del(T)
G[Del(T):R9]C	Del(T)
G[Del(T):R9]G	Del(T)
A[Ins(C):R0]A	Ins(C)
A[Ins(C):R0]G	Ins(C)
A[Ins(C):R0]T	Ins(C)
A[Ins(C):R1]A	Ins(C)
A[Ins(C):R1]G	Ins(C)
A[Ins(C):R1]T	Ins(C)
A[Ins(C):R2]A	Ins(C)
A[Ins(C):R2]G	Ins(C)
A[Ins(C):R2]T	Ins(C)
A[Ins(C):R3]A	Ins(C)
A[Ins(C):R3]G	Ins(C)
A[Ins(C):R3]T	Ins(C)
A[Ins(C):R4]A	Ins(C)
A[Ins(C):R4]G	Ins(C)
A[Ins(C):R4]T	Ins(C)
A[Ins(C):R5]A	Ins(C)
A[Ins(C):R5]G	Ins(C)
A[Ins(C):R5]T	Ins(C)
A[Ins(C):R6]A	Ins(C)
A[Ins(C):R6]G	Ins(C)
A[Ins(C):R6]T	Ins(C)
A[Ins(C):R7]A	Ins(C)
A[Ins(C):R7]G	Ins(C)
A[Ins(C):R7]T	Ins(C)
A[Ins(C):R8]A	Ins(C)
A[Ins(C):R8]G	Ins(C)
A[Ins(C):R8]T	Ins(C)
A[Ins(C):R9]A	Ins(C)
A[Ins(C):R9]G	Ins(C)
A[Ins(C):R9]T	Ins(C)
G[Ins(C):R0]A	Ins(C)
G[Ins(C):R0]G	Ins(C)
G[Ins(C):R0]T	Ins(C)
G[Ins(C):R1]A	Ins(C)
G[Ins(C):R1]G	Ins(C)
G[Ins(C):R1]T	Ins(C)
G[Ins(C):R2]A	Ins(C)
G[Ins(C):R2]G	Ins(C)
G[Ins(C):R2]T	Ins(C)
G[Ins(C):R3]A	Ins(C)
G[Ins(C):R3]G	Ins(C)
G[Ins(C):R3]T	Ins(C)
G[Ins(C):R4]A	Ins(C)
G[Ins(C):R4]G	Ins(C)
G[Ins(C):R4]T	Ins(C)
G[Ins(C):R5]A	Ins(C)
G[Ins(C):R5]G	Ins(C)
G[Ins(C):R5]T	Ins(C)
G[Ins(C):R6]A	Ins(C)
G[Ins(C):R6]G	Ins(C)
G[Ins(C):R6]T	Ins(C)
G[Ins(C):R7]A	Ins(C)
G[Ins(C):R7]G	Ins(C)
G[Ins(C):R7]T	Ins(C)
G[Ins(C):R8]A	Ins(C)
G[Ins(C):R8]G	Ins(C)
G[Ins(C):R8]T	Ins(C)
G[Ins(C):R9]A	Ins(C)
G[Ins(C):R9]G	Ins(C)
G[Ins(C):R9]T	Ins(C)
T[Ins(C):R0]A	Ins(C)
T[Ins(C):R0]G	Ins(C)
T[Ins(C):R0]T	Ins(C)
T[Ins(C):R1]A	Ins(C)
T[Ins(C):R1]G	Ins(C)
T[Ins(C):R1]T	Ins(C)
T[Ins(C):R2]A	Ins(C)
T[Ins(C):R2]G	Ins(C)
T[Ins(C):R2]T	Ins(C)
T[Ins(C):R3]A	Ins(C)
T[Ins(C):R3]G	Ins(C)
T[Ins(C):R3]T	Ins(C)
T[Ins(C):R4]A	Ins(C)
T[Ins(C):R4]G	Ins(C)
T[Ins(C):R4]T	Ins(C)
T[Ins(C):R5]A	Ins(C)
T[Ins(C):R5]G	Ins(C)
T[Ins(C):R5]T	Ins(C)
T[Ins(C):R6]A	Ins(C)
T[Ins(C):R6]G	Ins(C)
T[Ins(C):R6]T	Ins(C)
T[Ins(C):R7]A	Ins(C)
T[Ins(C):R7]G	Ins(C)
T[Ins(C):R7]T	Ins(C)
T[Ins(C):R8]A	Ins(C)
T[Ins(C):R8]G	Ins(C)
T[Ins(C):R8]T	Ins(C)
T[Ins(C):R9]A	Ins(C)
T[Ins(C):R9]G	Ins(C)
T[Ins(C):R9]T	Ins(C)
A[Ins(T):R0]A	Ins(T)
A[Ins(T):R0]C	Ins(T)
A[Ins(T):R0]G	Ins(T)
A[Ins(T):R1]A	Ins(T)
A[Ins(T):R1]C	Ins(T)
A[Ins(T):R1]G	Ins(T)
A[Ins(T):R2]A	Ins(T)
A[Ins(T):R2]C	Ins(T)
A[Ins(T):R2]G	Ins(T)
A[Ins(T):R3]A	Ins(T)
A[Ins(T):R3]C	Ins(T)
A[Ins(T):R3]G	Ins(T)
A[Ins(T):R4]A	Ins(T)
A[Ins(T):R4]C	Ins(T)
A[Ins(T):R4]G	Ins(T)
A[Ins(T):R5]A	Ins(T)
A[Ins(T):R5]C	Ins(T)
A[Ins(T):R5]G	Ins(T)
A[Ins(T):R6]A	Ins(T)
A[Ins(T):R6]C	Ins(T)
A[Ins(T):R6]G	Ins(T)
A[Ins(T):R7]A	Ins(T)
A[Ins(T):R7]C	Ins(T)
A[Ins(T):R7]G	Ins(T)
A[Ins(T):R8]A	Ins(T)
A[Ins(T):R8]C	Ins(T)
A[Ins(T):R8]G	Ins(T)
A[Ins(T):R9]A	Ins(T)
A[Ins(T):R9]C	Ins(T)
A[Ins(T):R9]G	Ins(T)
C[Ins(T):R0]A	Ins(T)
C[Ins(T):R0]C	Ins(T)
C[Ins(T):R0]G	Ins(T)
C[Ins(T):R1]A	Ins(T)
C[Ins(T):R1]C	Ins(T)
C[Ins(T):R1]G	Ins(T)
C[Ins(T):R2]A	Ins(T)
C[Ins(T):R2]C	Ins(T)
C[Ins(T):R2]G	Ins(T)
C[Ins(T):R3]A	Ins(T)
C[Ins(T):R3]C	Ins(T)
C[Ins(T):R3]G	Ins(T)
C[Ins(T):R4]A	Ins(T)
C[Ins(T):R4]C	Ins(T)
C[Ins(T):R4]G	Ins(T)
C[Ins(T):R5]A	Ins(T)
C[Ins(T):R5]C	Ins(T)
C[Ins(T):R5]G	Ins(T)
C[Ins(T):R6]A	Ins(T)
C[Ins(T):R6]C	Ins(T)
C[Ins(T):R6]G	Ins(T)
C[Ins(T):R7]A	Ins(T)
C[Ins(T):R7]C	Ins(T)
C[Ins(T):R7]G	Ins(T)
C[Ins(T):R8]A	Ins(T)
C[Ins(T):R8]C	Ins(T)
C[Ins(T):R8]G	Ins(T)
C[Ins(T):R9]A	Ins(T)
C[Ins(T):R9]C	Ins(T)
C[Ins(T):R9]G	Ins(T)
G[Ins(T):R0]A	Ins(T)
G[Ins(T):R0]C	Ins(T)
G[Ins(T):R0]G	Ins(T)
